"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",108.107,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",105.749,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",109.458,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",110.743,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",112.662,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",113.485,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",117.94,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",121.171,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",125.751,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",125.931,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",126.24,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",126.969,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",125.575,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",127.388,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",126.755,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2015",126.589,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2016",126.207,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2017",127.881,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2018",128.737,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2019",129.286,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2020",131.002,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2021",129.881,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",10.898,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",11.013,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",11.949,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",13.089,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",13.401,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",13.465,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",13.933,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",14.166,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",15.171,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",16.234,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",18.058,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",18.816,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",19.822,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",21.477,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",20.75,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",20.122,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",21.691,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",21.173,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",21.879,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",23.698,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",23.155,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",21.928,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",21.437,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",21.503,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",22.335,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",23.086,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",23.177,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",24.049,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",24.309,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",23.919,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",24.88,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",26.487,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",25.45,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",25.742,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",25.672,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",26.818,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",28.5,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",28.294,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",28.772,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",28.71,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",28.609,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",30.229,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",30.483,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",32.136,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",32.656,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",33.605,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",33.94,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",33.266,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",33.518,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",31.867,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",33.998,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",32.959,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",32.87,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",33.282,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",32.052,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2015",32.803,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2016",33.175,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2017",33.782,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2018",32.861,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2019",33.447,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2020",31.516,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2021",33.212,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",23.059,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",23.608,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",25.907,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",28.271,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",28.338,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",29.489,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",29.072,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",30.496,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",34.532,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",37.399,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",39.929,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",39.661,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",43.449,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",45.991,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",45.127,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",42.321,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",45.384,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",45.119,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",47.493,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",49.015,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",46.768,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",43.532,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",41.477,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",40.963,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",42.726,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",44.104,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",45.701,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",46.67,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",47.241,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",47.693,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",47.887,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",50.047,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",50.651,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",49.394,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",52.459,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",53.338,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",56.142,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",56.34,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",57.348,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",57.378,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",58.053,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",57.668,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",55.773,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",58.205,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",58.512,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",58.141,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",57.435,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",56.33,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",58.092,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",55.706,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",60.054,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",55.899,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",53.582,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",55.827,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",52.72,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2015",52.582,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2016",55.587,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2017",55.338,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2018",53.275,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2019",54.873,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2020",50.321,
"BEL","PRYENRGSUPPLY","TOT","MLN_TOE","A","2021",55.6,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",76.141,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",78.71,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",82.864,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",89.022,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",94.766,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",101.423,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",105.711,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",113.44,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",121.804,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",128.09,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",138.11,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",141.36,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",152.504,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",159.354,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",161.717,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",165.955,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",171.044,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",176.326,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",181.212,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",190.286,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",191.962,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",187.521,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",180.184,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",179.519,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",188.705,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",193.01,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",196.325,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",202.86,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",211.289,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",217.24,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",211.279,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",210.769,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",215.726,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",222.887,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",230.791,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",233.892,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",238.526,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",241.029,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",239.829,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",246.464,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",253.657,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",250.013,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",250.759,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",263.975,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",270.578,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",272.394,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",276.601,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",276.603,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",269.642,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",259.321,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",259.221,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",265.163,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",267.168,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",272.814,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",279.905,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2015",277.979,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2016",289.991,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2017",302.181,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2018",306.879,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2019",307.916,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2020",283.67,
"CAN","PRYENRGSUPPLY","TOT","MLN_TOE","A","2021",290.052,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",,"L"
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",45.384,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",45.527,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",45.159,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",41.889,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",43.674,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",44.938,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",48.021,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",45.357,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",48.404,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",46.952,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",47.049,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",47.793,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",47.97,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",48.976,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",49.247,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",50.049,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",51.505,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",50.488,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",49.09,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",49.803,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",45.226,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",44.049,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",42.668,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",41.198,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",41.749,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",43.05,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1997",43.382,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1998",41.979,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","1999",39.171,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",41.242,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",42.307,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",42.841,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",44.723,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",45.751,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",45.25,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",46.274,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",46.195,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",45.277,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",42.587,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",45.13,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",43.5,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",43.195,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",43.224,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",41.935,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2015",41.996,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2016",41.502,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2017",43.326,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2018",43.385,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2019",42.72,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2020",40.182,
"CZE","PRYENRGSUPPLY","TOT","MLN_TOE","A","2021",42.311,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1960",8.806,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1961",9.331,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1962",10.673,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1963",11.725,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1964",12.278,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1965",13.433,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1966",14.716,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1967",14.802,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1968",15.586,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1969",18.098,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1970",19.574,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1971",18.505,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1972",19.261,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1973",18.992,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1974",17.606,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1975",17.473,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1976",19,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1977",19.489,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1978",19.879,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1979",20.57,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1980",19.135,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1981",17.318,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1982",17.515,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1983",16.535,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1984",17.142,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1985",19.3,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1986",19.579,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1987",19.585,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1988",18.684,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1989",17.524,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1990",17.353,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1991",19.255,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1992",18.425,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1993",18.92,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1994",19.581,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1995",19.402,
"DNK","PRYENRGSUPPLY","TOT","MLN_TOE","A","1996",21.958,
